date,beta_expectation,expected_target_beta,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,prior_details,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,deployment_multiplier,expected_deployment_state,expected_deployment_multiplier,deployment_rank_abs_error,actual_deployment_cash,expected_deployment_cash,deployment_pacing_error,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2015-01-01,0.7999794113595816,0.5,0.7999793163468252,0.7999793163468252,1.0,1.0,NEUTRAL,0.8,0.7999794113595816,0.0005241000332030232,"{'base_weight': 1.0, 'posterior_weight': 0.0, 'transition_weight': 0.0, 'base_priors': {'MID_CYCLE': 0.20030581039755352, 'LATE_CYCLE': 0.39984709480122327, 'BUST': 0.19954128440366972, 'RECOVERY': 0.20030581039755352}, 'posterior_prior': {'MID_CYCLE': 0.20030581039755352, 'LATE_CYCLE': 0.39984709480122327, 'BUST': 0.19954128440366972, 'RECOVERY': 0.20030581039755352}, 'transition_prior': {'MID_CYCLE': 0.20030581039755352, 'LATE_CYCLE': 0.39984709480122327, 'BUST': 0.19954128440366972, 'RECOVERY': 0.20030581039755352}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,94.95011901855467,6.862880139655505e-05,1.9997254942142335,1.9305214233862744e-15,0.999931371198601,6.862880139655505e-05,4.999656855993012e-16
2015-01-02,0.7819040112131652,0.5,0.773258456013376,0.773258456013376,1.0,1.0,NEUTRAL,0.8,0.7819040112131652,0.1643568720062234,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.20015202002364754, 'LATE_CYCLE': 0.40030782624510436, 'BUST': 0.19938813370760053, 'RECOVERY': 0.20015202002364754}, 'posterior_prior': {'MID_CYCLE': 1.9305214233862744e-15, 'LATE_CYCLE': 0.999931371198601, 'BUST': 6.862880139655505e-05, 'RECOVERY': 4.999656855993012e-16}, 'transition_prior': {'MID_CYCLE': 0.0019048911408183833, 'LATE_CYCLE': 0.9923131064232403, 'BUST': 0.0038768513375432353, 'RECOVERY': 0.0019051510983980255}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,94.66507720947266,0.06031996262279357,1.7659971452904262,1.5457720422247072e-14,0.9396800373771905,0.06031996262279357,4.698802978950755e-16
2015-01-05,0.7998523056282333,0.5,0.7998490684409367,0.7998490684409367,1.0,1.0,NEUTRAL,0.8,0.7998523056282333,0.0030598512025536984,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.1999976945870678, 'LATE_CYCLE': 0.4007237043958826, 'BUST': 0.19928090642998186, 'RECOVERY': 0.1999976945870678}, 'posterior_prior': {'MID_CYCLE': 1.5457720422247072e-14, 'LATE_CYCLE': 0.9396800373771905, 'BUST': 0.06031996262279357, 'RECOVERY': 4.698802978950755e-16}, 'transition_prior': {'MID_CYCLE': 0.0020149317640953553, 'LATE_CYCLE': 0.9326544558752976, 'BUST': 0.06308719594931674, 'RECOVERY': 0.0022434164112903523}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,93.27643585205078,0.0004923145725565978,1.9980312264570481,5.173674746006055e-16,0.9995076854274423,0.0004923145725565978,4.997538427137218e-16
2015-01-06,0.7998743546669009,0.5,0.7998719229285489,0.7998719229285489,1.0,1.0,NEUTRAL,0.8,0.7998743546669009,0.0026519086354233057,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.19984283323947263, 'LATE_CYCLE': 0.40118735221148555, 'BUST': 0.19912698130956913, 'RECOVERY': 0.19984283323947263}, 'posterior_prior': {'MID_CYCLE': 5.173674746006056e-16, 'LATE_CYCLE': 0.9995076854274424, 'BUST': 0.0004923145725565979, 'RECOVERY': 4.997538427137219e-16}, 'transition_prior': {'MID_CYCLE': 0.001898628608611872, 'LATE_CYCLE': 0.9918067405252539, 'BUST': 0.004394137860361475, 'RECOVERY': 0.001900493005772811}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,92.02576446533205,0.00041881777699819765,1.998325079708666,5.072937338058376e-16,0.9995811822230009,0.00041881777699819765,4.99790591111501e-16
2015-01-07,0.7996985713821421,0.5,0.7996872347673538,0.7996872347673538,1.0,1.0,NEUTRAL,0.8,0.7996985713821421,0.005727596086629538,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.19968743514013035, 'LATE_CYCLE': 0.40165266418857565, 'BUST': 0.19897246553116366, 'RECOVERY': 0.19968743514013035}, 'posterior_prior': {'MID_CYCLE': 5.072937338058376e-16, 'LATE_CYCLE': 0.9995811822230009, 'BUST': 0.00041881777699819765, 'RECOVERY': 4.99790591111501e-16}, 'transition_prior': {'MID_CYCLE': 0.0018948442741528106, 'LATE_CYCLE': 0.9918933764250416, 'BUST': 0.004315348965138251, 'RECOVERY': 0.0018964303356672552}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,93.21207427978516,0.001004762059527592,1.9959829708554802,5.011693115336314e-16,0.9989952379404714,0.001004762059527592,4.994976189702364e-16
2015-01-08,0.7994738538603017,0.5,0.799444037678634,0.799444037678634,1.0,1.0,NEUTRAL,0.8,0.7994738538603017,0.009292365538922098,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.19953149945600387, 'LATE_CYCLE': 0.4021191283045103, 'BUST': 0.1988178727834821, 'RECOVERY': 0.19953149945600387}, 'posterior_prior': {'MID_CYCLE': 5.011693115336314e-16, 'LATE_CYCLE': 0.9989952379404714, 'BUST': 0.001004762059527592, 'RECOVERY': 4.994976189702364e-16}, 'transition_prior': {'MID_CYCLE': 0.0018923055979154111, 'LATE_CYCLE': 0.9913271772040877, 'BUST': 0.004884406575694802, 'RECOVERY': 0.0018961106223021058}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,94.9961166381836,0.0017538204656616298,1.9929908699098027,5.039160821517494e-16,0.9982461795343373,0.0017538204656616298,4.991230897671694e-16
2015-01-09,0.7970426714507268,0.5,0.7964972179362273,0.7964972179362273,1.0,1.0,NEUTRAL,0.8,0.7970426714507268,0.03992435361488922,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.19937502536183632, 'LATE_CYCLE': 0.402586615596513, 'BUST': 0.1986633336798143, 'RECOVERY': 0.19937502536183632}, 'posterior_prior': {'MID_CYCLE': 5.039160821517495e-16, 'LATE_CYCLE': 0.9982461795343374, 'BUST': 0.00175382046566163, 'RECOVERY': 4.991230897671695e-16}, 'transition_prior': {'MID_CYCLE': 0.0018900790850974467, 'LATE_CYCLE': 0.9905983234808263, 'BUST': 0.005614876673427842, 'RECOVERY': 0.0018967207606483383}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,94.37079620361328,0.009857761830911206,1.960763303612983,5.161258289655886e-16,0.9901422381690878,0.009857761830911206,4.950711190845446e-16
2015-01-12,0.7983503225925394,0.5,0.7981422916105652,0.7981422916105652,1.0,1.0,NEUTRAL,0.8,0.7983503225925394,0.024594919134678928,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.19921801204023684, 'LATE_CYCLE': 0.4030493318256754, 'BUST': 0.19851464409385094, 'RECOVERY': 0.19921801204023684}, 'posterior_prior': {'MID_CYCLE': 5.161258289655886e-16, 'LATE_CYCLE': 0.9901422381690878, 'BUST': 0.009857761830911206, 'RECOVERY': 4.950711190845446e-16}, 'transition_prior': {'MID_CYCLE': 0.0019018592338211741, 'LATE_CYCLE': 0.9825850135020443, 'BUST': 0.013573937180945858, 'RECOVERY': 0.0019391900831887297}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,93.38678741455078,0.005498924691536579,1.978064777579378,5.275285204738186e-16,0.9945010753084624,0.005498924691536579,4.97250537654232e-16
2015-01-13,0.7984510360507068,0.5,0.798263805107243,0.798263805107243,1.0,1.0,NEUTRAL,0.8,0.7984510360507068,0.02332863435411825,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.19906045868176608, 'LATE_CYCLE': 0.40351708676211295, 'BUST': 0.19836199587435488, 'RECOVERY': 0.19906045868176608}, 'posterior_prior': {'MID_CYCLE': 5.275285204738186e-16, 'LATE_CYCLE': 0.9945010753084624, 'BUST': 0.005498924691536579, 'RECOVERY': 4.97250537654232e-16}, 'transition_prior': {'MID_CYCLE': 0.0018899503268508437, 'LATE_CYCLE': 0.9868972092750073, 'BUST': 0.009302066724546374, 'RECOVERY': 0.0019107736735954498}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,93.35920715332033,0.005163213164311822,1.9794004648831112,5.18064833648871e-16,0.9948367868356872,0.005163213164311822,4.974183934178442e-16
2015-01-14,0.7980961861691788,0.5,0.7978320669401164,0.7978320669401164,1.0,1.0,NEUTRAL,0.8,0.7980961861691788,0.027725983002538812,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.19890236448502255, 'LATE_CYCLE': 0.4039867139980835, 'BUST': 0.19820855703187135, 'RECOVERY': 0.19890236448502255}, 'posterior_prior': {'MID_CYCLE': 5.18064833648871e-16, 'LATE_CYCLE': 0.9948367868356872, 'BUST': 0.005163213164311822, 'RECOVERY': 4.974183934178442e-16}, 'transition_prior': {'MID_CYCLE': 0.0018856788444557993, 'LATE_CYCLE': 0.9872339304111615, 'BUST': 0.008975160250525315, 'RECOVERY': 0.0019052304938574727}}",LATE_CYCLE,BUST,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,0.5,DEPLOY_PAUSE,0.0,1,500.0,0.0,0.5,False,QQQ,92.84422302246094,0.006346046102738336,1.9746963601913208,5.20815259840574e-16,0.9936539538972606,0.006346046102738336,4.968269769486311e-16
